Disease,Region,Latitude,Longitude,Altitude,Animal_Type,Animal_Ownership,Immunization_Status,Identification_Method,Community_HDA_Identified,Animal_Image
Rabies,Oromia,3.867816667,38.69047167,1272.6,Dog,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Somali,4.3729898,39.9791588,1185.576715,Goat,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/22607140?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1634196062635.jpg
Rabies,Somali,6.887025,45.56846833,501.0,Goat,No,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/18052624?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1604171320369.jpg
Rabies,Gambella,8.253956667,34.58374333,447.0,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Gambella,8.237221667,34.58365333,458.1,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Gambella,8.237066667,34.583495,458.5,Dog,Yes,Not vaccinated,Community gathering,Yes,
Rabies,Gambella,8.236935,34.583375,458.6,Cow,Yes,Not vaccinated,Community gathering,Yes,
Rabies,Gambella,8.236931667,34.58332167,458.6,Cow,Yes,Not vaccinated,Community gathering,Yes,
Rabies,SNNP,7.055081667,35.49912167,1670.5,Donkey/Horse/Mule,Yes,Not vaccinated,Community gathering,No,
Rabies,SNNP,7.05504,35.49912167,1671.2,Donkey/Horse/Mule,Yes,Not vaccinated,Other specify,No,
Rabies,Gambella,7.239801667,35.32313167,1315.8,Cow,No,Not vaccinated,House to house visit,No,http://api.ona.io/api/v1/files/16836351?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1594446371193.jpg
Rabies,Gambella,7.210995,35.28552333,1236.1,Ox,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/15899394?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1590991455906.jpg
Rabies,Somali,3.53747115,39.05274765,1086.383301,Donkey/Horse/Mule,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/15879379?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1588854339457.jpg
Rabies,Somali,3.53752481,39.05273357,1089.135254,Donkey/Horse/Mule,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/15879373?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1588854785861.jpg
Rabies,Gambella,7.234685,35.32719833,1322.5,Goat,Yes,Not vaccinated,Community gathering,No,http://api.ona.io/api/v1/files/15455646?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1586946827043.jpg
Rabies,Gambella,7.234063333,35.31967,1320.9,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Somali,5.80068,43.53263833,297.4,Goat,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Somali,5.59504,44.196465,254.6,Donkey/Horse/Mule,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/15419623?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1585987803143.jpg
Rabies,Somali,3.84970804,39.08073902,1097.839478,Cow,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/15361765?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1585316969649.jpg
Rabies,Somali,3.85431313,39.06618288,1108.914551,Goat,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/15361763?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1585316194549.jpg
Rabies,Somali,3.85845792,39.06575179,1110.447754,Donkey/Horse/Mule,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/15361757?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1585315803942.jpg
Rabies,Somali,3.8584228,39.06609019,1095.729858,Cow,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/15361755?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1585315495297.jpg
Rabies,Somali,3.73575077,39.18263051,1068.473999,Donkey/Horse/Mule,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/15361753?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1584864206523.jpg
